MARKETGROUPID;PARENTGROUPID;MARKETGROUPNAME;DESCRIPTION;ICONID;HASTYPES
1773;1763;Implant Slot 09;Implant Slot 09;;1
1774;1763;Implant Slot 10;Implant Slot 10;;1
1775;1764;Implant Slot 08;Implant Slot 08;;1
1776;1764;Implant Slot 09;Implant Slot 09;;1
1777;1764;Implant Slot 10;Implant Slot 10;;1
1779;1111;Resource Processing Rigs;Permanent modification of a ship's resource processing facilities.;21057;0
1780;1111;Scanning Rigs;Permanent modification of a ship's scanning facilities.;21058;0
1781;1111;Targeting Rigs;Permanent modification of a ship's targeting facilities.;21059;0
1782;1779;Small Resource Processing Rigs;Modifications that affect a small starship's resource processing.;;1
1783;1779;Medium Resource Processing Rigs;Modifications that affect a medium starship's resource processing.;;1
1784;1779;Large Resource Processing Rigs;Modifications that affect a large starship's resource processing.;;1
1785;1779;Capital Resource Processing Rigs;Modifications that affect a capital starship's resource processing.;;1
1786;1780;Small Scanning Rigs;Modifications that affect a small starship's scanning.;;1
1787;1780;Medium Scanning Rigs;Modifications that affect a medium starship's scanning.;;1
1788;1780;Large Scanning Rigs;Modifications that affect a large starship's scanning.;;1
1789;1780;Capital Scanning Rigs;Modifications that affect a capital starship's scanning.;;1
1790;1781;Small Targeting Rigs;Modifications that affect a small starship's targeting.;;1
1791;1781;Medium Targeting Rigs;Modifications that affect a medium starship's targeting.;;1
1792;1781;Large Targeting Rigs;Modifications that affect a large starship's targeting.;;1
1793;1781;Capital Targeting Rigs;Modifications that affect a capital starship's targeting.;;1
1794;943;Resource Processing Rigs;Permanent modification of a ship's resource processing.;2703;0
1795;943;Scanning Rigs;Permanent modification of a ship's scanning facilities.;2703;0
1796;943;Targeting Rigs;Permanent modification of a ship's targeting facilities.;2703;0
1797;1794;Capital Resource Processing Rigs;Blueprints of Capital Resource Processing Rigs.;;1
1798;1794;Large Resource Processing Rigs;Blueprints of Large Resource Processing Rigs.;;1
1799;1794;Medium Resource Processing Rigs;Blueprints of Medium Resource Processing Rigs.;;1
1800;1794;Small Resource Processing Rigs;Blueprints of Small Resource Processing Rigs.;;1
1801;1795;Small Scanning Rigs;Blueprints of Small Scanning Rigs.;;1
1802;1795;Medium Scanning Rigs;Blueprints of Medium Scanning Rigs.;;1
1803;1795;Large Scanning Rigs;Blueprints of Large Scanning Rigs.;;1
1804;1795;Capital Scanning Rigs;Blueprints of Capital Scanning Rigs.;;1
1805;1796;Small Targeting Rigs;Blueprints of Small Targeting Rigs.;;1
1806;1796;Medium Targeting Rigs;Blueprints of Medium Targeting Rigs.;;1
1807;1796;Large Targeting Rigs;Blueprints of Large Targeting Rigs.;;1
1808;1796;Capital Targeting Rigs;Blueprints of Capital Targeting Rigs.;;1
1809;1710;Analyzers;Blueprints of analyzers.;;1
1810;1660;Alliance Tournament Cards;Alliance Tournament Cards;;0
1811;1660;New Eden Open Cards;New Eden Open Cards;;0
1812;1810;Alliance Tournament All Star Teams;Alliance Tournament All Star Teams;;1
1813;1811;NEO YC 114 Team Cards;NEO YC 114 Team Cards;;1
1814;1659;Special Edition Implants;Special Edition Implants;;1
1815;4;Rookie Ships;Small entry level and expendable ships.;1443;0
1816;1815;Amarr;Amarr rookie ship designs.;;1
1817;1815;Caldari;Caldari rookie ship designs.;;1
1818;1815;Gallente;Gallente rookie ship designs.;;1
1819;1815;Minmatar;Minmatar rookie ship designs.;;1
1820;65;Hybrid;Construction components for various items;;1
1822;1407;Tattoos;Tattoos for characters;;1
1823;150;Planet Management;Skills related to the control and remote operation of planetary colonies.;;1
1824;150;Subsystems;Skills to control ship subsystems.;;1
1827;140;Rapid Heavy Missile Launchers;;;1
1828;406;Mobile Depots;Blueprints for Mobile Depots;;1
1829;406;Mobile Cynosural Inhibitors;Blueprints for Mobile Cynosural Inhibitors;;1
1830;406;Mobile Tractor Units;Blueprints of Mobile Tractor Units;;1
1831;404;Mobile Depots;;;1
1832;404;Mobile Cynosural Inhibitors;;;1
1833;404;Mobile Tractor Units;;;1
1834;406;Mobile Siphon Units;Blueprints of Mobile Siphon Units.;;1
1835;404;Mobile Siphon Units;Steals resources from Player Owned Structures.;;1
1836;1407;Prosthetics;a market group for various prosthetics;;1
1837;1612;Special Edition Recon Ships;;;1
1838;1612;Special Edition Covert Ops;;;1
1840;19;Covert Research Tools;;2039;1
1841;1338;Starbase structures;Blueprints of deployable structures.;2703;0
1842;406;Mobile Micro Jump Units;;;1
1843;406;Mobile Scan Inhibitors;;;1
1844;404;Mobile Micro Jump Units;;;1
1845;404;Mobile Scan Inhibitors;;;1
1846;19;Bounty Reimbursement Tags;Tags to turn in for ISK;;1
1847;404;Encounter Surveillance Systems;Deployables that monitor bounty payout activity in the system;;1
350001;;Infantry Gear;Specialist equipment for Infantry;10847;0
353557;353567;Grenades;Hand thrown explosive devices.;;0
353561;350001;Augmentations;Augmentations designed to increase cognitive ability allowing temporary usage of certain skills or increased skill point accrual.;;0
353562;350001;Dropsuits;Infantry dropsuits designed to protect and sustain the wearer in even the harshest environments. Different dropsuit classifications offer specific bonuses to speed, mobility, defense and configurability.;;0
353563;350001;Equipment;Deployable and handheld equipment used by infantry.;;0
353565;350001;Turrets;Turrets are interchangeable weapons fitted to vehicle hardpoints. Turrets are available in large and small sizes.;;0
353566;350001;Vehicles;"Ground and aerial vehicles for increased firepower and improved combat effectiveness; the backbone of any planetary conquest.";;0
353567;350001;Weapons;Handheld weaponry used by infantry.;;0
353568;364049;Forge Guns;Forge guns.;;0
353569;364047;Assault Rifles;Assault rifles.;;0
353570;364047;Sniper Rifles;Sniper rifles.;;0
353571;364047;Swarm Launchers;Swarm launchers.;;0
353572;364048;Submachine Guns;Submachine guns.;;0
353573;364048;Scrambler Pistols;Scrambler pistols.;;0
353574;353563;Nanohives;;;0
353575;353563;Drop Uplinks;;;0
353576;353563;Repair Tools;;;0
353579;366335;Dropsuit Modules;Modules are interchangeable hardware components that enhance or otherwise alter the functionality of the dropsuit they are fitted to.;;0
353580;366335;Vehicle Modules;Modules are interchangeable hardware components that enhance or otherwise alter the functionality of the vehicle they are fitted to.;;0
353581;353579;Shield;;;0
353582;353579;Armor;;;0
353583;353579;Biotics;;;0
353584;353579;Electronics;;;0
353585;353579;Engineering;;;0
353586;353579;Weapon Upgrades;;;0
353587;353580;Shield;;;0
353588;353580;Armor;;;0
353589;353580;Electronics;;;0
353590;353580;Engineering;;;0
353591;353580;Propulsion;;;0
353592;353580;Turret Upgrades;;;0
353600;364044;Scout;Scout dropsuits.;;0
353601;364045;Assault;Assault dropsuits.;;0
353602;364045;Logistics;Logistics dropsuits.;;0
353604;364046;Sentinel;Sentinel dropsuits.;;0
353605;353565;Railgun;;;0
353608;353565;Missile;;;0
353613;353605;Small;;;0
353633;350001;Skills;Hardwired neural augmentations used to train new abilities.;;0
353651;353566;Heavy Attack Vehicles;;;0
353652;353566;Light Attack Vehicles;;;0
353653;353566;Dropships;;;0
353657;353651;Standard;;;1
353664;353652;Standard;;;1
353671;353653;Standard;;;1
353681;353633;Weaponry;Hardwired neural augmentations used to train new abilities.;;0
353684;353681;Weapons;Hardwired neural augmentations used to train new abilities.;;1
353706;353633;Dropsuit Command;Hardwired neural augmentations used to train new abilities.;;0
353707;353706;Dropsuit Command;Hardwired neural augmentations used to train new abilities.;;1
353708;365496;Dropsuit Upgrades;Hardwired neural augmentations used to train new abilities.;;1
353710;353633;Vehicle Command;Hardwired neural augmentations used to train new abilities.;;0
353711;353710;Vehicle Command;Hardwired neural augmentations used to train new abilities.;;1
353713;353633;Turret Operation;Hardwired neural augmentations used to train new abilities.;;0
353715;353713;Turret Operation;Hardwired neural augmentations used to train new abilities.;;1
353716;353713;Turret Upgrades;Hardwired neural augmentations used to train new abilities.;;1
354331;353569;Standard;;;1
354332;353569;Advanced;;;1
354333;353569;Prototype;;;1
354335;353568;Standard;;;1
354336;353568;Advanced;;;1
354337;353568;Prototype;;;1
354338;353557;Locus Grenades;;;0
354339;353557;Anti-Vehicle Grenades;;;0
354340;353557;Flux Grenades;;;0
354343;353573;Standard;;;1
354344;353573;Advanced;;;1
354345;353573;Prototype;;;1
354347;353570;Standard;;;1
354348;353570;Advanced;;;1
354350;353570;Prototype;;;1
354352;353572;Standard;;;1
354353;353572;Advanced;;;1
354354;353572;Prototype;;;1
354364;353571;Standard;;;1
354366;353571;Advanced;;;1
354367;353571;Prototype;;;1
354376;353601;Standard;;;1
354377;353601;Advanced;;;1
354378;353601;Prototype;;;1
354380;353604;Standard;;;1
354381;353604;Advanced;;;1
354382;353604;Prototype;;;1
354384;353602;Standard;;;1
354385;353602;Advanced;;;1
354386;353602;Prototype;;;1
354388;353600;Standard;;;1
354389;353600;Advanced;;;1
354390;353600;Prototype;;;1
354403;353575;Standard;;;1
354404;353575;Advanced;;;1
354405;353575;Prototype;;;1
354410;353574;Standard;;;1
354411;353574;Advanced;;;1
354412;353574;Prototype;;;1
354414;353576;Standard;;;1
354415;353576;Advanced;;;1
354416;353576;Prototype;;;1
354423;353582;Armor Plates;;;0
354424;353582;Armor Repairers;;;0
354425;353583;Endurance Modifiers;;;1
354427;353583;Speed Modifiers;;;1
354429;353583;Melee Upgrades;;;1
354430;353584;CPU Upgrades;;;1
354431;353585;PG Upgrades;;;1
354432;353581;Shield Extenders;Dropsuit shield extenders.;;0
354433;353581;Shield Rechargers;Dropsuit shield rechargers.;;0
354434;353586;Damage Amplifiers;;;1
354444;353588;Armor Plates;;;0
354448;353588;Armor Repairers;;;0
354453;353589;CPU Upgrades;;;1
354455;353590;Mobile CRUs;;;1
354458;353590;Power Grid Upgrades;;;1
354460;353591;Afterburners (Aerial);These speed boost modules only apply to aerial vehicles;;1
354461;353591;Boosts (Ground);These speed boost modules only apply to ground vehicles;;1
354469;353592;Damage Amplifiers;;;0
354471;353587;Shield Boosters;;;0
354478;353565;Blaster;;;0
354483;353605;Large;;;0
354488;354478;Small;;;0
354489;354478;Large;;;0
354490;353608;Small;;;0
354491;353608;Large;;;0
354534;353561;Boosters;;;0
354542;354534;Passive Boosters;;;1
354543;354534;Active Boosters;;;1
354563;364049;Heavy Machine Guns;Heavy Machine guns.;;0
354565;354563;Standard;;;1
354566;354563;Advanced;;;1
354567;354563;Prototype;;;1
354616;364047;Mass Drivers;Mass drivers.;;0
354618;354616;Standard;;;1
354619;354616;Advanced;;;1
354620;354616;Prototype;;;1
354671;353584;Scan Enhancers;;;1
354686;364047;Laser Rifles;Laser rifles.;;0
354690;354686;Standard;;;1
354691;354686;Advanced;;;1
354692;354686;Prototype;;;1
354693;364047;Shotguns;Shotguns.;;0
354696;354693;Standard;;;1
354697;354693;Advanced;;;1
354698;354693;Prototype;;;1
355181;353563;Remote Explosives;;;0
355187;355181;Standard;;;1
355188;355181;Advanced;;;1
355189;355181;Prototype;;;1
355193;353563;Nanite Injectors;;;0
355194;355193;Standard;;;1
355195;355193;Advanced;;;1
355196;355193;Prototype;;;1
355449;350001;Militia Gear;Standard-issue gear that requires no skills to use but is less efficient than other gear.;;0
355457;355449;Dropsuits;;;0
355458;355449;Equipment;;;0
355459;355449;Modules;;;0
355460;355449;Turrets;;;0
355461;355449;Vehicles;;;0
355462;355449;Weapons;;;0
355463;355462;Weapons & Grenades;;;1
355464;355461;Vehicles;;;1
355465;355460;Turrets;;;1
355466;355459;Dropsuit Modules;;;1
355467;355459;Vehicle Modules;;;1
355468;355458;Equipment;;;1
355469;355457;Dropsuits;;;1
355572;353584;Data Miners;;;1
355590;353581;Shield Regulators;Dropsuit shield regulators.;;0
356433;364048;Nova Knives;Nova knives.;;0
356434;356433;Standard;;;1
356435;356433;Advanced;;;1
356436;356433;Prototype;;;1
356575;354469;Hybrid Damage Amplifiers;;;0
356576;354469;Missile Damage Amplifiers;;;0
356579;356575;Blaster Damage Amplifiers;;;1
356581;356575;Railgun Damage Amplifiers;;;1
356584;356576;Missile Damage Amplifiers;;;1
356597;353587;Shield Hardeners;;;0
356916;353589;Scanners;;;1
356960;354491;Standard;;;1
356961;354491;Advanced;;;1
356962;354491;Prototype;;;1
356963;354490;Standard;;;1
356964;354490;Advanced;;;1
356965;354490;Prototype;;;1
356968;354488;Standard;;;1
356969;354488;Advanced;;;1
356970;354488;Prototype;;;1
356971;354489;Standard;;;1
356972;354489;Advanced;;;1
356973;354489;Prototype;;;1
356976;354483;Standard;;;1
356977;354483;Advanced;;;1
356978;354483;Prototype;;;1
356979;353613;Standard;;;1
356980;353613;Advanced;;;1
356981;353613;Prototype;;;1
357120;357121;Armor Hardeners;Actively increases resistance to armor damage.;;1
357121;353588;Armor Hardeners;;;0
363305;354444;120mm Armor Plates;Moderate armor plating;;1
363306;354444;60mm Armor Plates;Light armor plating;;1
363440;354448;Light; ;;1
363441;354448;Heavy; ;;1
363442;353587;Shield Extenders; ;;0
363448;354471;Light; ;;1
363449;354471;Heavy; ;;1
363452;356597;Shield Hardeners; ;;1
363456;363442;Heavy;Heavy duty shield extenders add a large amount of shield hit points at the cost of increased CPU and power grid usage.;;1
363457;363442;Light;Lightweight shield extenders add a moderate amount of shield hit points with less cost to CPU and power grid usage.;;1
363464;354338;Standard;Standard;;1
363465;354338;Advanced;Advanced;;1
363466;354338;Prototype;Prototype;;1
363467;354339;Standard;Standard;;1
363468;354339;Advanced;Advanced;;1
363469;354339;Prototype;Prototype;;1
363470;354340;Standard;Standard;;1
363471;354340;Advanced;Advanced;;1
363472;354340;Prototype;Prototype;;1
363475;353633;Corporations;Hardwired neural augmentations used to train new abilities.;;0
363476;363475;Corporation Management;Hardwired neural augmentations used to train new abilities.;;1
363790;364048;Flaylock Pistols;Flaylock pistols.;;0
363791;363790;Standard;Standard;;1
363792;363790;Advanced;Advanced;;1
363793;363790;Prototype;Prototype;;1
364044;353562;Light;Light dropsuit frames.;;0
364045;353562;Medium;Medium dropsuit frames.;;0
364046;353562;Heavy;Heavy dropsuit frames.;;0
364047;353567;Light;Light handheld weapons.;;0
364048;353567;Sidearm;Sidearm handheld weapons.;;0
364049;353567;Heavy;Heavy handheld weapons.;;0
364051;364047;Scrambler Rifles;Scrambler rifles.;;0
364052;364051;Standard;Standard.;;1
364053;364051;Advanced;Advanced.;;1
364054;364051;Prototype;Prototype.;;1
364055;364047;Plasma Cannons;Plasma cannon.;;0
364056;364055;Standard;Standard.;;1
364057;364055;Advanced;Advanced.;;1
364058;364055;Prototype;Prototype.;;1
364491;353563;Active Scanners;"Handheld scanners designed to detect enemy units and relay their location to TACNET systems.
";;0
364492;364491;Standard;;;1
364493;364491;Advanced;;;1
364494;364491;Prototype;;;1
364768;353653;Assault;The Assault is a low-level aerial attack craft effective against aerial and ground units;;1
364885;364044;Basic;Basic light frame dropsuits.;;0
364886;364885;Standard;Standard light frames.;;1
364887;364885;Advanced;Advanced light frame dropsuits.;;1
364888;364885;Prototype;Prototype light frame dropsuits.;;1
364889;364045;Basic;Basic medium frame dropsuits.;;0
364890;364889;Standard;Standard medium frames.;;1
364891;364889;Advanced;Advanced medium frames.;;1
364892;364889;Prototype;Prototype medium frames.;;1
364893;364046;Basic;Basic heavy frame dropsuits.;;0
364894;364893;Standard;Standard heavy frames.;;1
364895;364893;Advanced;Advanced heavy frames.;;1
364896;364893;Prototype;Prototype heavy frames.;;1
364911;350001;Packaged Fits;Pre-packaged, ready to deploy dropsuit and vehicle fittings: The answer to any battlefield problem you may encounter.;;0
364912;365947;Scout;;;1
364913;365947;Assault;;;1
364914;365947;Heavy;;;1
365001;365497;Vehicle Upgrades;Skills adapted to increasing vehicle effectiveness on the battlefield.;;1
365244;354423;Armor Plates;Dropsuit armor plates.;;1
365245;354423;Ferroscale Plates;Dropsuit armor plates.;;1
365246;354423;Reactive Plates;Dropsuit armor plates.;;1
365247;354424;Armor Repairers;Dropsuit armor repairers.;;1
365248;354432;Shield Extenders;Dropsuit shield extenders.;;1
365249;355590;Shield Regulators;Dropsuit shield regulators.;;1
365250;354433;Shield Rechargers;Dropsuit shield rechargers.;;1
365251;354433;Shield Energizers;Dropsuit shield energizers.;;1
365278;364046;Commando;Commando dropsuits.;;0
365279;365278;Standard;Standard commando dropsuits.;;1
365280;365278;Advanced;Advanced commando dropsuits.;;1
365282;365278;Prototype;Prototype commando dropsuits.;;1
365496;353633;Dropsuit Upgrades;Hardwired neural augmentations used to train new abilities.;;0
365497;353633;Vehicle Upgrades;Hardwired neural augmentations used to train new abilities.;;0
365765;364047;Combat Rifles;Combat Rifles.;;0
365766;365765;Standard;Standard.;;1
365767;365765;Advanced;Advanced.;;1
365768;365765;Prototype;Prototype.;;1
365769;364047;Rail Rifles;Rail Rifles.;;0
365770;365769;Standard;Standard.;;1
365771;365769;Advanced;Advanced.;;1
365772;365769;Prototype;Prototype.;;1
365898;353592;Ammo Expansion Units;Ammo Expansion Units.;;0
365899;365898;Blaster Ammo Expansion Units;Blaster Ammo Expansion Units.;;1
365900;365898;Missile Launcher Ammo Expansion Units;Missile Launcher Ammo Expansion Units.;;1
365901;365898;Railgun Ammo Expansion Units;Railgun Ammo Expansion Units.;;1
365946;364911;Fitted Vehicles;Fitted Vehicles.;;0
365947;364911;Fitted Dropsuits;Fitted Dropsuits;;0
365948;365947;Logistics;Logistics.;;1
365949;365946;Dropship;Dropship;;1
365950;365946;Light Attack Vehicle (LAV);LAV.;;1
365951;365946;Heavy Attack Vehicle (HAV);HAV.;;1
365995;350001;Loyalty Store;An area of the market reserved for items that require loyalty points earned in Factional Contracts.;;0
365996;365995;Gallente Store;The Gallente store contains items that require loyalty points from the Federal Marines.;;0
365997;365995;Amarr Store;The Amarr store contains items that require loyalty points from the Imperial Guard.;;0
365998;365995;Minmatar Store;The Minmatar store contains items that require loyalty points from the Republic Command.;;0
365999;365995;Caldari Store;The Caldari store contains items that require loyalty points from the State Peacekeepers.;;0
366021;354534;Faction Booster Amarr;;;1
366173;365996;Dropsuits;;;0
366174;365997;Dropsuits;;;0
366175;365998;Dropsuits;;;0
366177;365999;Dropsuits;;;0
366178;365996;Dropsuit Weapons;;;0
366179;365997;Dropsuit Weapons;;;0
366180;365998;Dropsuit Weapons;;;0
366181;365999;Dropsuit Weapons;;;0
366182;365996;Vehicles;;;0
366185;365999;Vehicles;;;0
366186;365996;Vehicle Turrets;;;0
366189;365999;Vehicle Turrets;;;0
366190;365996;Dropsuit Modules;;;0
366191;365997;Dropsuit Modules;;;0
366193;365998;Dropsuit Modules;;;0
366194;365999;Dropsuit Modules;;;0
366197;366174;Standard;;;1
366198;366174;Advanced;;;1
366199;366174;Prototype;;;1
366200;366173;Standard;;;1
366201;366173;Advanced;;;1
366202;366173;Prototype;;;1
366203;366175;Standard;;;1
366204;366175;Advanced;;;1
366205;366175;Prototype;;;1
366206;366177;Standard;;;1
366207;366177;Advanced;;;1
366208;366177;Prototype;;;1
366209;366182;Standard;;;1
366210;366186;Standard;;;1
366211;366186;Advanced;;;1
366212;366186;Prototype;;;1
366213;366189;Standard;;;1
366214;366189;Advanced;;;1
366215;366189;Prototype;;;1
366216;366185;Standard;;;1
366219;366181;Standard;;;1
366220;366181;Advanced;;;1
366221;366181;Prototype;;;1
366222;366178;Standard;;;1
366223;366178;Advanced;;;1
366224;366178;Prototype;;;1
366253;366190;Standard;;;1
366254;366190;Advanced;;;1
366255;366190;Prototype;;;1
366257;366179;Standard;;;1
366258;366179;Advanced;;;1
366259;366179;Prototype;;;1
366260;365996;Equipment;;;0
366261;366260;Standard;;;1
366262;366260;Advanced;;;1
366263;366260;Prototype;;;1
366264;365997;Equipment;;;0
366266;366264;Advanced;;;1
366267;366264;Prototype;;;1
366268;366191;Standard;;;1
366269;366191;Advanced;;;1
366271;366191;Prototype;;;1
366272;366180;Standard;;;1
366273;366180;Advanced;;;1
366274;366180;Prototype;;;1
366275;365998;Equipment;;;0
366276;366275;Standard;;;1
366277;366275;Advanced;;;1
366278;366275;Prototype;;;1
366279;366193;Standard;;;1
366280;366193;Advanced;;;1
366281;366193;Prototype;;;1
366282;365999;Equipment;;;0
366283;366282;Standard;;;1
366284;366282;Advanced;;;1
366285;366282;Prototype;;;1
366286;366194;Standard;;;1
366287;366194;Advanced;;;1
366288;366194;Prototype;;;1
366335;350001;Modules;Modules are interchangeable hardware components that enhance or otherwise alter the functionality of the vehicle or dropsuit they are fitted to.;;0
366350;354534;Faction Booster Caldari;;;1
366351;354534;Faction Booster Gallente;;;1
366352;354534;Faction Booster Minmatar;;;1
